Username,Repository,Link
mrdoob,three.js, https://github.com/mrdoob/three.js
pmndrs,react-three-fiber, https://github.com/pmndrs/react-three-fiber
libgdx,libgdx, https://github.com/libgdx/libgdx
BabylonJS,Babylon.js, https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer, https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners, https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe, https://github.com/aframevr/aframe
FreeCAD,FreeCAD, https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium, https://github.com/CesiumGS/cesium
metafizzy,zdog, https://github.com/metafizzy/zdog
isl-org,Open3D, https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning, https://github.com/timzhang642/3D-Machine-Learning
blender,blender, https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator, https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS, https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox, https://github.com/FyroxEngine/Fyrox
google,model-viewer, https://github.com/google/model-viewer
nerfstudio-project,nerfstudio, https://github.com/nerfstudio-project/nerfstudio
openscad,openscad, https://github.com/openscad/openscad
spritejs,spritejs, https://github.com/spritejs/spritejs
